연번,구분,도서관명,소재지,매핑_행정구역,매핑상태,비고,면적(제곱미터),region_gu,region_detail,join_key
38,사립,남양글로벌 작은도서관,"경기도 화성시 만세구 남양읍 남양성지로 143, 6층, 남양글로벌작은도서관",,구기준매핑완료,,71,만세구,남양읍,만세구
39,사립,남양뉴타운9단지 작은도서관,"경기도 화성시 만세구 남양읍 남양중앙로 316, 남양뉴타운LH9단지 아파트",,구기준매핑완료,,57,만세구,남양읍,만세구
40,사립,놀러와 작은도서관,"경기도 화성시 동탄구 동탄숲속로 95(동탄구 능동, 숲속마을광명메이루즈아파트)",,구기준매핑완료,,82.5,동탄구,능동,동탄구
41,사립,느티나무 작은도서관,"경기도 화성시 동탄구 동탄대로24길 199, 동탄역 포레너스 아파트",,구기준매핑완료,,141,동탄구,,동탄구
42,사립,다가치 꿈꾸는 작은도서관,"경기도 화성시 동탄구 동탄순환대로20길 45, 동탄 금강펜테리움 센트럴파크 4차",,구기준매핑완료,,188.9,동탄구,,동탄구
43,사립,다솜 작은도서관,"경기도 화성시 동탄구 동탄순환대로19길 21, 동탄동원로얄듀크2차 아파트",,구기준매핑완료,,114.56,동탄구,,동탄구
44,사립,다온행복 작은도서관,경기도 화성시 동탄구 동탄신리천로5가길 35,,구기준매핑완료,,129.58,동탄구,,동탄구
45,사립,다은우남 작은도서관,경기도 화성시 동탄구 동탄중앙로 171(동탄시범다은마을 우남퍼스트빌 아파트),,구기준매핑완료,,176,동탄구,,동탄구
46,사립,달떡 작은도서관,"경기도 화성시 동탄구 동탄신리천로2길 65, 1층(동탄2 디루체아파트)",,구기준매핑완료,,154.2,동탄구,,동탄구
47,사립,더불어 작은도서관,경기도 화성시 만세구 향남읍 상신하길로 298번길 7-7 연세프라자 801호 ,,구기준매핑완료,,75.16,만세구,향남읍,만세구
48,사립,더불어숲 작은도서관,"경기도 화성시 효행구 봉담읍 동화길 85, 이원타워 10층 1002호",,구기준매핑완료,,61,효행구,봉담읍,효행구
49,사립,더샵 꿈마루 작은도서관,경기도 화성시 동탄구 동탄대로10길 20. 동탄 더샵 레이크 에듀타운 아파트,,구기준매핑완료,,94.95,동탄구,,동탄구
50,사립,더샵 센트럴시티2차 작은도서관,"경기도 화성시 동탄구 동탄감배산로 19, 1620동 더샵센트럴시티 2차 아파트",,구기준매핑완료,,108.49,동탄구,,동탄구
51,사립,도담도담 작은도서관,"경기도 화성시 효행구 매송로360번길 13, 매송휴먼시아 커뮤니티실",,구기준매핑완료,,74.52,효행구,,효행구
52,사립,동2롯데캐슬 작은도서관,"경기도 화성시 동탄구 동탄대로2길 49, 동탄2롯데캐슬뉴스테이",,구기준매핑완료,,159.99,동탄구,,동탄구
53,사립,동원 여울빛 작은도서관,"경기도 화성시 동탄구 동부대로 1062, 동원 로얄듀크 비스타 3차",,구기준매핑완료,,44.77,동탄구,,동탄구
54,사립,동일하이빌 작은도서관,경기도 화성시 효행구 봉담읍 동화길 82 동일하이빌아파트 관리동,,구기준매핑완료,,106.68,효행구,봉담읍,효행구
55,사립,동탄 I PARK 작은도서관,"경기도 화성시 동탄구 동탄지성로 42, 동탄시범한빛마을 동탄아이파크",,구기준매핑완료,,73.125,동탄구,,동탄구
56,사립,동탄 영어 작은도서관,"경기도 화성시 동탄구 경기동로 519 , 동탄 영어 작은도서관",,구기준매핑완료,,235,동탄구,,동탄구
57,사립,동탄 호반포레 작은도서관,"경기도 화성시 동탄구 동탄신리천로1길 74, 호반베르디움 센트럴포레 아파트",,구기준매핑완료,,107.4,동탄구,,동탄구
58,사립,동탄2에듀하이 작은도서관,"경기도 화성시 동탄구 동탄순환대로 17길 31, B1",,구기준매핑완료,,180.112,동탄구,,동탄구
59,사립,동탄구미 작은도서관,"경기도 화성시 동탄구 동탄순환대로3가길 14-10, 101호 동탄 구미교회",,구기준매핑완료,,42,동탄구,,동탄구
60,사립,동탄북광장 작은도서관,"경기도 화성시 동탄구 동탄지성로 18, 금정프라자 403호",,구기준매핑완료,,36,동탄구,,동탄구
61,사립,동탄역 모아미래도 작은도서관,"경기도 화성시 동탄구 동탄청계로 303-33, 모아미래도아파트 1층",,구기준매핑완료,,132,동탄구,,동탄구
62,사립,동탄역센트럴상록 작은도서관,"경기도 화성시 동탄구 동탄대로22길 9, 동탄역센트럴상록아파트",,구기준매핑완료,,83.46,동탄구,,동탄구
63,사립,동탄역시범더샵센트럴시티작은도서관,"경기도 화성시 동탄구 동탄대로시범길 19, 1403동 1층(동탄구 청계동, 동탄역 시범더샵 센트럴시티) ",,구기준매핑완료,,77.45,동탄구,청계동,동탄구
64,사립,동탄역한화 작은도서관,"경기도 화성시 동탄구 동탄대로시범길 20(동탄구 청계동, 동탄역 시범한화 꿈에그린 프레스티지)",,구기준매핑완료,,244.12,동탄구,청계동,동탄구
65,사립,동탄파라곤 북카페 작은도서관,"경기도 화성시 동탄구 동탄반석로 172( 동탄구 반송동, 동탄파라곤) 101동 5층",,구기준매핑완료,,166.07,동탄구,,동탄구
66,사립,동탄행복마을푸른 작은도서관,"경기도 화성시 동탄구 동탄순환대로26길 81, 동탄행복마을 푸르지오",,구기준매핑완료,,144,동탄구,,동탄구
67,사립,동탄호수 작은도서관,경기도 화성시 동탄구 동탄순환대로10길 42. 동탄2 LH행복주택35단지 아파트,,구기준매핑완료,,191.12,동탄구,,동탄구
68,사립,동탄호수공원아이파크 작은도서관,"경기도 화성시 동탄구 동탄순환대로8길 14, 동탄호수공원 아이파크 아파트",,구기준매핑완료,,107,동탄구,,동탄구
69,사립,동탄힐링마을 작은도서관,"경기도 화성시 동탄구 동탄치동천로2길 4-24, 1층(동탄한울교회)",,구기준매핑완료,,66,동탄구,,동탄구
70,사립,동화 작은도서관,"경기도 화성시 효행구 봉담읍 동화새터길 121, 동화마을3단지",,구기준매핑완료,,61,효행구,봉담읍,효행구
