연번,구분,도서관명,소재지,매핑_행정구역,매핑상태,비고,면적(제곱미터)
53,사립,동원 여울빛 작은도서관,"경기도 화성시 동탄구 동부대로 1062, 동원 로얄듀크 비스타 3차",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,44.77
55,사립,동탄 I PARK 작은도서관,"경기도 화성시 동탄구 동탄지성로 42, 동탄시범한빛마을 동탄아이파크",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,73.125
56,사립,동탄 영어 작은도서관,"경기도 화성시 동탄구 경기동로 519 , 동탄 영어 작은도서관",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,235
57,사립,동탄 호반포레 작은도서관,"경기도 화성시 동탄구 동탄신리천로1길 74, 호반베르디움 센트럴포레 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,107.4
58,사립,동탄2에듀하이 작은도서관,"경기도 화성시 동탄구 동탄순환대로 17길 31, B1",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,180.112
59,사립,동탄구미 작은도서관,"경기도 화성시 동탄구 동탄순환대로3가길 14-10, 101호 동탄 구미교회",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,42
60,사립,동탄북광장 작은도서관,"경기도 화성시 동탄구 동탄지성로 18, 금정프라자 403호",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,36
61,사립,동탄역 모아미래도 작은도서관,"경기도 화성시 동탄구 동탄청계로 303-33, 모아미래도아파트 1층",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,132
62,사립,동탄역센트럴상록 작은도서관,"경기도 화성시 동탄구 동탄대로22길 9, 동탄역센트럴상록아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,83.46
63,사립,동탄역시범더샵센트럴시티작은도서관,"경기도 화성시 동탄구 동탄대로시범길 19, 1403동 1층(동탄구 청계동, 동탄역 시범더샵 센트럴시티) ",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,77.45
64,사립,동탄역한화 작은도서관,"경기도 화성시 동탄구 동탄대로시범길 20(동탄구 청계동, 동탄역 시범한화 꿈에그린 프레스티지)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,244.12
65,사립,동탄파라곤 북카페 작은도서관,"경기도 화성시 동탄구 동탄반석로 172( 동탄구 반송동, 동탄파라곤) 101동 5층",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,166.07
66,사립,동탄행복마을푸른 작은도서관,"경기도 화성시 동탄구 동탄순환대로26길 81, 동탄행복마을 푸르지오",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,144
67,사립,동탄호수 작은도서관,경기도 화성시 동탄구 동탄순환대로10길 42. 동탄2 LH행복주택35단지 아파트,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,191.12
68,사립,동탄호수공원아이파크 작은도서관,"경기도 화성시 동탄구 동탄순환대로8길 14, 동탄호수공원 아이파크 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,107
69,사립,동탄힐링마을 작은도서관,"경기도 화성시 동탄구 동탄치동천로2길 4-24, 1층(동탄한울교회)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,66
73,사립,두산위브 작은도서관,"경기도 화성시 병점구 영통로50번길 27, 반달마을 두산위브아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,52
74,사립,디딤 작은도서관,"경기도 화성시 동탄구 금곡로257번길 38, 디딤교회",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,50
75,사립,디딤돌 작은도서관,"경기도 화성시 동탄구 동탄순환대로22길 45(동탄구 청계동,동탄2신도시 호반베르디움 더클래스)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,279.4
76,사립,레이크 펜테리움 작은도서관,"경기도 화성시 동탄구 동탄산척로2길 56, 금강펜테리움2차 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,57.68
77,사립,레이크빌 작은도서관,"경기도 화성시 동탄구 동탄대로9길 20, LH26단지 관리동 내",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,88.53
79,사립,롯데캐슬 작은도서관,"경기도 화성시 동탄구 동탄반석로 231, 예당롯데캐슬아파트 생활지원센터",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,101.47
81,사립,르파비스 작은도서관,"경기도 화성시 동탄구 동탄순환대로20길 115, 르파비스 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,133.24
82,사립,리디아 작은도서관,"경기도 화성시 동탄구 동탄신리천로8길 15, 1층(동탄2LH40단지 아파트)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,97.34
83,사립,리베라 작은도서관,"경기도 화성시 동탄구 동탄순환대로21길 15, 신안인스빌리베라",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,208.414
84,사립,리슈빌 작은별 작은도서관,"경기도 화성시 동탄구 동탄대로3길 34, 리슈빌 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,129.82
86,사립,말하는영어 작은도서관,"경기도 화성시 동탄구 10용사로 532, 주다산교회 1층(동탄구 반송동)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,117.292
