연번,구분,도서관명,소재지,매핑_행정구역,매핑상태,비고,면적(제곱미터)
214,사립,햇살바람 작은도서관,"경기도 화성시 동탄구 동탄대로12길 64, 금강펜테리움센트럴파크1차 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,51.7102
216,사립,행복공원 작은도서관,"경기도 화성시 동탄구 동탄지성로 320, 신풍프라자 4층",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,67
217,사립,행복담은 작은도서관,"경기도 화성시 동탄구 동탄지성로 17, 20층(동탄위버폴리스 아파트)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,266
218,사립,행복한 작은도서관,"경기도 화성시 병점구 병점3로 74, 관리동 1층(느치미마을주공2단지 아파트)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,56.6
221,사립,향아름 작은도서관,"경기도 화성시 동탄구 동탄오산로 86-10, 동탄리코빌 1동 207호 (동탄구 오산동)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,63.84
222,사립,호반써밋동탄 작은도서관,경기도 화성시 동탄구 동탄신리천로4길 48,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,251.39
223,사립,호수나래 작은도서관,"경기도 화성시 동탄구 동탄대로6길 50, 더레이크시티부영5단지 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,173.25
224,사립,호수나무 작은도서관,"경기도 화성시 동탄구 동탄대로8길 65, 1층(더레이크시티부영2단지 아파트)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,125.55
225,사립,호수품 작은도서관,"경기도 화성시 동탄구 동탄대로6길 84, 더레이크시티부영6단지 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,187
226,사립,화성 행복한 영어 작은도서관,"경기도 화성시 병점구 반정로204번길 53, 베들레헴 교회 교육관 2층(병점구 반정동)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,146.85
227,사립,화성동부청소년 작은도서관,경기도 화성시 병점구 영통로8번길 10-12 향유내음가득교회,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,175
